Year,State:,Education,final_didnotvote_weight,final_didvote_weight,segment_size,voterturnout,standard_error,Education Category,stat_type,stat_val,YA,Race,Race Category,Employment,Employment Category,Age,Age Category
2000,Alabama,15.0,495476.47779999976,213594.32430000004,709070.8020999997,0.30123130675725807,0.0005448437472853768,Less than High School,education,Less than High School,False,,,,,,
2000,Alabama,73.0,551900.2145999998,504725.6034,1056625.818,0.4776767657971424,0.00048593269662331774,High School Grad,education,High School Grad,False,,,,,,
2000,Alabama,80.0,182246.9386,274877.54170000006,457124.48030000005,0.6013187950896972,0.0007241825079077277,Some College,education,Some College,False,,,,,,
2000,Alabama,91.0,91135.44769999999,131093.04380000004,222228.49150000003,0.5899020549307019,0.0010433592770783932,Associate's Degree,education,Associate's Degree,False,,,,,,
2000,Alabama,111.0,74886.00820000001,257093.59539999985,331979.60359999986,0.7744258762046426,0.0007254021967598312,Bachelor's Degree,education,Bachelor's Degree,False,,,,,,
2000,Alabama,123.0,10047.256300000001,117132.16159999996,127179.41789999997,0.9209993529935789,0.0007563739623997665,Post-Graduate Degree,education,Post-Graduate Degree,False,,,,,,
2000,Alaska,15.0,22754.0581,14536.179099999998,37290.237199999996,0.38981192374930773,0.0025255841604291313,Less than High School,education,Less than High School,False,,,,,,
2000,Alaska,73.0,53101.003099999994,65592.1532,118693.1563,0.5526195043142517,0.00144324076848938,High School Grad,education,High School Grad,False,,,,,,
2000,Alaska,80.0,21169.1882,58097.658799999976,79266.84699999998,0.7329376782200002,0.0015714263905811715,Some College,education,Some College,False,,,,,,
2000,Alaska,91.0,2452.4992,27394.544199999997,29847.043399999995,0.9178310840664372,0.0015895877270953342,Associate's Degree,education,Associate's Degree,False,,,,,,
2000,Alaska,111.0,6923.3055,45459.426999999996,52382.7325,0.8678322956901876,0.00147974371027909,Bachelor's Degree,education,Bachelor's Degree,False,,,,,,
2000,Alaska,123.0,1215.1575,19006.4865,20221.644,0.9399080757232201,0.0016712542165697895,Post-Graduate Degree,education,Post-Graduate Degree,False,,,,,,
2000,Arizona,15.0,386616.54880000016,89801.18040000004,476417.7292000002,0.18849252430381638,0.0005666297469403918,Less than High School,education,Less than High School,False,,,,,,
2000,Arizona,73.0,555534.9308,318031.8976000002,873566.8284000002,0.364061325660108,0.0005148098223885797,High School Grad,education,High School Grad,False,,,,,,
2000,Arizona,80.0,383350.48039999994,347151.7937000002,730502.2741000002,0.4752234264126025,0.0005842858304094687,Some College,education,Some College,False,,,,,,
2000,Arizona,91.0,119346.60459999998,125484.98449999999,244831.58909999998,0.5125359230043898,0.0010101822599788977,Associate's Degree,education,Associate's Degree,False,,,,,,
2000,Arizona,111.0,140183.2573,298762.22280000005,438945.48010000004,0.6806362893449465,0.0007037121386353946,Bachelor's Degree,education,Bachelor's Degree,False,,,,,,
2000,Arizona,123.0,50747.721099999995,193216.87870000012,243964.5998000001,0.7919873574215173,0.0008217516477047377,Post-Graduate Degree,education,Post-Graduate Degree,False,,,,,,
2000,Arkansas,15.0,271831.7153,107091.87160000003,378923.5869,0.28262128646075063,0.0007314773074007431,Less than High School,education,Less than High School,False,,,,,,
2000,Arkansas,73.0,376929.37750000006,261991.25109999996,638920.6286,0.41005289134907724,0.0006153228212589806,High School Grad,education,High School Grad,False,,,,,,
2000,Arkansas,80.0,132800.548,155660.04739999998,288460.5954,0.5396232618328707,0.0009280230630827807,Some College,education,Some College,False,,,,,,
2000,Arkansas,91.0,32761.8109,66701.12470000003,99462.93560000003,0.670612869986516,0.0014902482430911653,Associate's Degree,education,Associate's Degree,False,,,,,,
2000,Arkansas,111.0,41447.022199999985,130442.09500000002,171889.1172,0.7588734942900737,0.0010317701942655691,Bachelor's Degree,education,Bachelor's Degree,False,,,,,,
2000,Arkansas,123.0,3699.6103,67219.88930000001,70919.49960000001,0.9478336660457768,0.0008349844593155048,Post-Graduate Degree,education,Post-Graduate Degree,False,,,,,,
2000,California,15.0,1455741.504099999,696879.2169000003,2152620.7209999994,0.32373525447449253,0.00031891108401670756,Less than High School,education,Less than High School,False,,,,,,
